Keyword,Intent,Volume_US,KD_pct,CPC_USD,Cluster,Funnel_Stage,Geo_Language,Current_Rank,Best_Target_URL,Priority,Notes
panama real estate,Commercial,3600,31,0.26,Buying / Head,MOF,US-EN,Not ranking,/buying-property-in-panama/,P0,"Global vol 7.0K: US 3.6K / CA 1.0K / PA 390 / AU 110 / UK 110 / DE 90. Top-10 avg AS 44 but genuine Panama players sit at AS 12-35."
panama real estate for sale,Transactional,1300,42,0.24,Buying / Head,BOF,US-EN,Not ranking,/buying-property-in-panama/,P1,Listing-intent; needs a browsable inventory surface to compete
panama homes for sale,Transactional,1300,23,0.26,Buying / Head,BOF,US-EN,Not ranking,/buying-property-in-panama/,P1,KD 23 — winnable
panama property for sale,Transactional,1000,30,0.25,Buying / Head,BOF,US-EN,Not ranking,/buying-property-in-panama/,P1,
panama city panama real estate,Commercial,880,50,0.27,Location / Panama City,MOF,US-EN,Not ranking,/areas/panama-city/,P1,Highest KD in the set; needs the strongest area page
panama houses for sale,Transactional,880,25,0.26,Buying / Head,BOF,US-EN,Not ranking,/buying-property-in-panama/,P2,
buy house in panama,Transactional,880,33,0.25,Buying / Process,BOF,US-EN,Not ranking,/buying-property-in-panama/,P1,
real estate in panama,Informational/Commercial,720,41,0.43,Buying / Head,MOF,US-EN,Not ranking,/buying-property-in-panama/,P1,
panama realty,Commercial,720,55,0.26,Buying / Head,MOF,US-EN,Not ranking,/buying-property-in-panama/,P3,Brand-ish; low return
real estate in panama republic of panama,Commercial,720,41,0.23,Buying / Head,MOF,US-EN,Not ranking,/buying-property-in-panama/,P3,Disambiguation phrasing vs Panama City FL
real estate panama,Commercial,590,42,0.22,Buying / Head,MOF,US-EN,Not ranking,/buying-property-in-panama/,P2,
panamanian real estate for sale,Transactional,590,21,0.24,Buying / Head,BOF,US-EN,Not ranking,/buying-property-in-panama/,P2,KD 21
homes for sale panama,Transactional,590,18,0.25,Buying / Head,BOF,US-EN,Not ranking,/buying-property-in-panama/,P2,KD 18
real estate in panama central america,Commercial,590,15,0.23,Buying / Head,MOF,US-EN,Not ranking,/buying-property-in-panama/,P1,KD 15 — cheap win; disambiguates from Panama City FL
homes in panama,Commercial,590,23,0.29,Buying / Head,MOF,US-EN,Not ranking,/buying-property-in-panama/,P2,
republic of panama real estate,Commercial,480,27,0.26,Buying / Head,MOF,US-EN,Not ranking,/buying-property-in-panama/,P3,
real estate for sale in panama,Transactional,480,29,0.25,Buying / Head,BOF,US-EN,Not ranking,/buying-property-in-panama/,P2,
properties panama,Commercial,480,32,0.23,Buying / Head,MOF,US-EN,Not ranking,/buying-property-in-panama/,P3,
houses for sale panama,Transactional,390,25,0.25,Buying / Head,BOF,US-EN,Not ranking,/buying-property-in-panama/,P3,
real estate panama city panama,Commercial,390,45,0.27,Location / Panama City,MOF,US-EN,Not ranking,/areas/panama-city/,P2,
panama city panama realtors,Commercial,390,40,0.27,Buying / Agents,BOF,US-EN,Not ranking,/contact/,P3,
panama panama real estate for sale,Transactional,320,38,0.34,Buying / Head,BOF,US-EN,Not ranking,/buying-property-in-panama/,P3,
homes for sale in the republic of panama,Transactional,320,0,0.25,Buying / Head,BOF,US-EN,Not ranking,/buying-property-in-panama/,P1,KD 0 — free win
panama homes,Commercial,320,16,0.36,Buying / Head,MOF,US-EN,Not ranking,/buying-property-in-panama/,P2,
